"filename", "language", "XML", "JSON with Comments", "Markdown", "JavaScript", "JavaScript JSX", "JSON", "CSS", "CSV", "comment", "blank", "total"
"c:\Users\21365\Desktop\op\gis\components\ActionDropdown.jsx", "JavaScript JSX", 0, 0, 0, 0, 41, 0, 0, 0, 0, 2, 43
"c:\Users\21365\Desktop\op\gis\components\CreateForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 89, 0, 0, 0, 3, 6, 98
"c:\Users\21365\Desktop\op\gis\components\Dashboard\AddUserForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 307, 0, 0, 0, 0, 7, 314
"c:\Users\21365\Desktop\op\gis\components\Dashboard\DahboardCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 4, 3, 35
"c:\Users\21365\Desktop\op\gis\components\Dashboard\LignesDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 4, 1, 63
"c:\Users\21365\Desktop\op\gis\components\Dashboard\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 106, 0, 0, 0, 6, 3, 115
"c:\Users\21365\Desktop\op\gis\components\Dashboard\TableUsers.jsx", "JavaScript JSX", 0, 0, 0, 0, 174, 0, 0, 0, 0, 5, 179
"c:\Users\21365\Desktop\op\gis\components\Dashboard\WellDashboard.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 0, 4, 1, 63
"c:\Users\21365\Desktop\op\gis\components\DragModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 4, 52
"c:\Users\21365\Desktop\op\gis\components\Drop.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\Users\21365\Desktop\op\gis\components\Form.jsx", "JavaScript JSX", 0, 0, 0, 0, 119, 0, 0, 0, 3, 6, 128
"c:\Users\21365\Desktop\op\gis\components\FormComplete.jsx", "JavaScript JSX", 0, 0, 0, 0, 86, 0, 0, 0, 1, 20, 107
"c:\Users\21365\Desktop\op\gis\components\FromSelect.jsx", "JavaScript JSX", 0, 0, 0, 0, 68, 0, 0, 0, 0, 7, 75
"c:\Users\21365\Desktop\op\gis\components\Inspection\ActionsOfInspection.jsx", "JavaScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 0, 9, 120
"c:\Users\21365\Desktop\op\gis\components\Inspection\ConstructionRaportForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 162, 0, 0, 0, 1, 3, 166
"c:\Users\21365\Desktop\op\gis\components\Inspection\ConstructionRaportStatus.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 3, 2, 38
"c:\Users\21365\Desktop\op\gis\components\Inspection\ConstructionRaportStatusForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 163, 0, 0, 0, 1, 4, 168
"c:\Users\21365\Desktop\op\gis\components\Inspection\ConstructionReport.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 3, 2, 37
"c:\Users\21365\Desktop\op\gis\components\Inspection\CreateInspection.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 3, 2, 37
"c:\Users\21365\Desktop\op\gis\components\Inspection\CreateInspectionForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 287, 0, 0, 0, 0, 4, 291
"c:\Users\21365\Desktop\op\gis\components\Inspection\CreatePeriodicInspection.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 3, 2, 38
"c:\Users\21365\Desktop\op\gis\components\Inspection\Demande.jsx", "JavaScript JSX", 0, 0, 0, 0, 103, 0, 0, 0, 0, 5, 108
"c:\Users\21365\Desktop\op\gis\components\Inspection\EpEvaluation.jsx", "JavaScript JSX", 0, 0, 0, 0, 32, 0, 0, 0, 3, 2, 37
"c:\Users\21365\Desktop\op\gis\components\Inspection\EpEvaluationForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 224, 0, 0, 0, 1, 5, 230
"c:\Users\21365\Desktop\op\gis\components\Inspection\FormCompleteUpdate.jsx", "JavaScript JSX", 0, 0, 0, 0, 71, 0, 0, 0, 0, 14, 85
"c:\Users\21365\Desktop\op\gis\components\Inspection\InspectionCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 28, 0, 0, 0, 4, 3, 35
"c:\Users\21365\Desktop\op\gis\components\Inspection\InspectionDepForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 202, 0, 0, 0, 1, 4, 207
"c:\Users\21365\Desktop\op\gis\components\Inspection\InspectionDepartementRapport.jsx", "JavaScript JSX", 0, 0, 0, 0, 33, 0, 0, 0, 3, 2, 38
"c:\Users\21365\Desktop\op\gis\components\Inspection\InspectionPeriodicFile.jsx", "JavaScript JSX", 0, 0, 0, 0, 122, 0, 0, 0, 0, 5, 127
"c:\Users\21365\Desktop\op\gis\components\Inspection\NoteEpTrigger.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\21365\Desktop\op\gis\components\Inspection\ShowConstructionRapport.jsx", "JavaScript JSX", 0, 0, 0, 0, 167, 0, 0, 0, 0, 7, 174
"c:\Users\21365\Desktop\op\gis\components\Inspection\ShowEpNote.jsx", "JavaScript JSX", 0, 0, 0, 0, 111, 0, 0, 0, 3, 5, 119
"c:\Users\21365\Desktop\op\gis\components\Inspection\ShowEvaluation.jsx", "JavaScript JSX", 0, 0, 0, 0, 139, 0, 0, 0, 3, 5, 147
"c:\Users\21365\Desktop\op\gis\components\Inspection\ShowInspectionDepRapport.jsx", "JavaScript JSX", 0, 0, 0, 0, 145, 0, 0, 0, 3, 5, 153
"c:\Users\21365\Desktop\op\gis\components\Inspection\ShowUpdatedOuvrage.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 3, 6, 100
"c:\Users\21365\Desktop\op\gis\components\Inspection\TableInspection.jsx", "JavaScript JSX", 0, 0, 0, 0, 185, 0, 0, 0, 0, 9, 194
"c:\Users\21365\Desktop\op\gis\components\Inspection\UpdateAndTerminate.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 3, 2, 35
"c:\Users\21365\Desktop\op\gis\components\Inspection\UpdateAndTerminateForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 0, 0, 5, 41
"c:\Users\21365\Desktop\op\gis\components\Inspection\UpdateManifoldForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 211, 0, 0, 0, 1, 5, 217
"c:\Users\21365\Desktop\op\gis\components\Inspection\UpdateOuvrage.jsx", "JavaScript JSX", 0, 0, 0, 0, 39, 0, 0, 0, 1, 3, 43
"c:\Users\21365\Desktop\op\gis\components\Inspection\UpdatePage.jsx", "JavaScript JSX", 0, 0, 0, 0, 30, 0, 0, 0, 0, 2, 32
"c:\Users\21365\Desktop\op\gis\components\Inspection\UpdateSegmentStep.jsx", "JavaScript JSX", 0, 0, 0, 0, 212, 0, 0, 0, 1, 15, 228
"c:\Users\21365\Desktop\op\gis\components\Inspection\triggers\ConstructionTrigger.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 0, 1, 9
"c:\Users\21365\Desktop\op\gis\components\Inspection\triggers\EvaluationTrigger.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\21365\Desktop\op\gis\components\Inspection\triggers\InpectionTrigger.jsx", "JavaScript JSX", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 5
"c:\Users\21365\Desktop\op\gis\components\Inspection\triggers\ResultTrigger.jsx", "JavaScript JSX", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 6
"c:\Users\21365\Desktop\op\gis\components\JonctionForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 579, 0, 0, 0, 1, 6, 586
"c:\Users\21365\Desktop\op\gis\components\Junction\TableDemo.jsx", "JavaScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 6, 3, 62
"c:\Users\21365\Desktop\op\gis\components\LeftBarDropDown.jsx", "JavaScript JSX", 0, 0, 0, 0, 57, 0, 0, 0, 0, 4, 61
"c:\Users\21365\Desktop\op\gis\components\LengthSegment.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 0, 0, 8, 126
"c:\Users\21365\Desktop\op\gis\components\ManifoldMap.jsx", "JavaScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 6, 15, 118
"c:\Users\21365\Desktop\op\gis\components\Map.jsx", "JavaScript JSX", 0, 0, 0, 0, 450, 0, 0, 0, 36, 35, 521
"c:\Users\21365\Desktop\op\gis\components\MapComponent.jsx", "JavaScript JSX", 0, 0, 0, 0, 272, 0, 0, 0, 20, 18, 310
"c:\Users\21365\Desktop\op\gis\components\Modal.jsx", "JavaScript JSX", 0, 0, 0, 0, 46, 0, 0, 0, 0, 2, 48
"c:\Users\21365\Desktop\op\gis\components\Nav.jsx", "JavaScript JSX", 0, 0, 0, 0, 24, 0, 0, 0, 29, 2, 55
"c:\Users\21365\Desktop\op\gis\components\NewLine.jsx", "JavaScript JSX", 0, 0, 0, 0, 451, 0, 0, 0, 1, 7, 459
"c:\Users\21365\Desktop\op\gis\components\NewSegment.jsx", "JavaScript JSX", 0, 0, 0, 0, 213, 0, 0, 0, 1, 15, 229
"c:\Users\21365\Desktop\op\gis\components\Pagination.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 34
"c:\Users\21365\Desktop\op\gis\components\PipeForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 327, 0, 0, 0, 4, 13, 344
"c:\Users\21365\Desktop\op\gis\components\PopUp.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\21365\Desktop\op\gis\components\Section.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 0, 0, 2, 69
"c:\Users\21365\Desktop\op\gis\components\SegmentModal.jsx", "JavaScript JSX", 0, 0, 0, 0, 79, 0, 0, 0, 4, 5, 88
"c:\Users\21365\Desktop\op\gis\components\SkeltonMain.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 2, 25
"c:\Users\21365\Desktop\op\gis\components\TimeLine.jsx", "JavaScript JSX", 0, 0, 0, 0, 91, 0, 0, 0, 0, 2, 93
"c:\Users\21365\Desktop\op\gis\components\Toast.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 0, 0, 3, 26
"c:\Users\21365\Desktop\op\gis\components\Tree.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 22, 1, 35
"c:\Users\21365\Desktop\op\gis\components\manifold\Chart.jsx", "JavaScript JSX", 0, 0, 0, 0, 110, 0, 0, 0, 1, 10, 121
"c:\Users\21365\Desktop\op\gis\components\manifold\ManifoldForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 767, 0, 0, 0, 2, 10, 779
"c:\Users\21365\Desktop\op\gis\components\manifold\PressureCard.jsx", "JavaScript JSX", 0, 0, 0, 0, 25, 0, 0, 0, 3, 3, 31
"c:\Users\21365\Desktop\op\gis\components\manifold\Table.jsx", "JavaScript JSX", 0, 0, 0, 0, 84, 0, 0, 0, 6, 5, 95
